IBPFAHIO_00022	565664.EFXG_04088	0.0	972.0	COG3039@1|root,COG3039@2|Bacteria,1TPFS@1239|Firmicutes,4H9V9@91061|Bacilli,4B02G@81852|Enterococcaceae	91061|Bacilli	L	Transposase DDE domain	-	-	-	-	-	-	-	-	-	-	-	-	DDE_Tnp_1,DDE_Tnp_1_6,DUF772
IBPFAHIO_00058	565664.EFXG_03977	3.85e-98	285.0	2EGZP@1|root,33ART@2|Bacteria,1VKPB@1239|Firmicutes,4HR69@91061|Bacilli,4B3PK@81852|Enterococcaceae	91061|Bacilli	S	YopX protein	-	-	-	-	-	-	-	-	-	-	-	-	YopX
IBPFAHIO_00081	565664.EFXG_04092	0.0	1186.0	2F858@1|root,340IJ@2|Bacteria,1VXBV@1239|Firmicutes,4HXFS@91061|Bacilli,4B1VE@81852|Enterococcaceae	91061|Bacilli	S	Domain of unknown function (DUF2479)	-	-	-	-	-	-	-	-	-	-	-	-	DUF2479,Metallophos
IBPFAHIO_00082	565664.EFXG_01758	7.21e-192	531.0	29K6W@1|root,3074A@2|Bacteria,1U107@1239|Firmicutes,4IAGH@91061|Bacilli,4B5HR@81852|Enterococcaceae	565664.EFXG_01758|-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
IBPFAHIO_00083	768486.EHR_09635	6.25e-169	508.0	2DXCM@1|root,344FD@2|Bacteria,1VYZA@1239|Firmicutes,4IU4Z@91061|Bacilli,4B3AI@81852|Enterococcaceae	91061|Bacilli	S	Domain of unknown function (DUF2479)	-	-	-	-	-	-	-	-	-	-	-	-	DUF2479
IBPFAHIO_00476	565664.EFXG_04117	1.98e-314	856.0	COG3464@1|root,COG3464@2|Bacteria,1TQ93@1239|Firmicutes,4HC0Q@91061|Bacilli,4AZW0@81852|Enterococcaceae	91061|Bacilli	L	InterPro IPR002560 Transposase, IS204 IS1001 IS1096 IS1165	-	-	-	-	-	-	-	-	-	-	-	-	DDE_Tnp_ISL3,HTH_Tnp_ISL3,zf-ISL3
IBPFAHIO_00823	565664.EFXG_04040	5.28e-235	650.0	COG3464@1|root,COG3464@2|Bacteria,1TQ93@1239|Firmicutes,4HC0Q@91061|Bacilli,4AZW0@81852|Enterococcaceae	91061|Bacilli	L	InterPro IPR002560 Transposase, IS204 IS1001 IS1096 IS1165	-	-	-	-	-	-	-	-	-	-	-	-	DDE_Tnp_ISL3,HTH_Tnp_ISL3,zf-ISL3
IBPFAHIO_00873	565664.EFXG_04066	1.14e-84	249.0	COG3436@1|root,COG3436@2|Bacteria,1V7U9@1239|Firmicutes,4HIJB@91061|Bacilli,4B6KB@81852|Enterococcaceae	91061|Bacilli	L	IS66 Orf2 like protein	-	-	-	ko:K07484	-	-	-	-	ko00000	-	-	-	TnpB_IS66
IBPFAHIO_00922	565664.EFXG_04013	6.28e-116	332.0	COG2963@1|root,COG2963@2|Bacteria,1V09A@1239|Firmicutes,4HHDE@91061|Bacilli,4B29R@81852|Enterococcaceae	91061|Bacilli	L	Helix-turn-helix domain	-	-	-	ko:K07483	-	-	-	-	ko00000	-	-	-	HTH_28
IBPFAHIO_00924	1158604.I591_02227	1.74e-58	181.0	COG2963@1|root,COG2963@2|Bacteria,1V9ZX@1239|Firmicutes,4HKN9@91061|Bacilli,4B301@81852|Enterococcaceae	91061|Bacilli	L	Transposase	-	-	-	ko:K07483	-	-	-	-	ko00000	-	-	-	HTH_Tnp_1
IBPFAHIO_00927	565664.EFXG_04101	2.02e-47	151.0	2EK5K@1|root,33DW0@2|Bacteria,1VKGK@1239|Firmicutes,4HRYF@91061|Bacilli,4B4AI@81852|Enterococcaceae	91061|Bacilli	S	Putative phage holin Dp-1	-	-	-	-	-	-	-	-	-	-	-	-	Phage_holin_Dp1
IBPFAHIO_00928	565664.EFXG_03971	7.03e-45	147.0	2EFPR@1|root,339FR@2|Bacteria,1VHDR@1239|Firmicutes,4HQZ1@91061|Bacilli,4B3N5@81852|Enterococcaceae	91061|Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
